Designator,Mid X,Mid Y,Layer,Rotation
IC6,508.32,563.24,Top,0
IC9,526.2,535.6,Top,90
IC11,537.55,535.6,Top,90
C1,408.3,509.9,Top,0
C2,408.4,467.1,Top,0
C3,429.64,505.1,Top,90
C4,433,488.1,Top,90
C5,440,501.2,Top,90
C6,441.75,477.45,Top,0
C7,442.1,490.25,Top,0
C8,447.34,491.7,Top,270
C9,462.1,493.8,Top,0
C10,466.7,493.9,Top,0
C11,466.8,451.9,Top,90
C12,471.6,493.8,Top,0
C13,473.4,468.6,Top,0
C14,473.9,451.8,Top,270
C15,476.3,493.8,Top,0
C16,476.75,482.25,Top,0
C17,482.3,575.8,Top,0
C18,483.75,506.48,Top,0
C19,486.5,576,Top,0
C20,486.4,500.9,Top,270
C21,491.9,575.8,Top,0
C22,490.25,506.5,Top,0
C23,500.3,467.15,Top,90
C24,500.6,455.43,Top,90
C25,505.7,576.1,Top,0
C27,509.5,576.1,Top,0
C28,508.4,555.6,Top,270
C29,508.4,545.4,Top,270
C30,509.4,515.2,Top,90
C32,513.6,576.1,Top,0
C39,536.1,514,Top,90
C40,544.8,496.8,Top,270
C41,551.1,520.1,Top,270
C42,551.4,508.6,Top,270
C43,551.2,496.8,Top,270
C44,557.1,520.1,Top,270
C45,557.3,508.7,Top,270
C46,557.4,496.8,Top,270
C52,580.9,527.8,Top,90
C54,589.48,540.98,Top,270
C55,589.48,538.48,Top,270
C56,589.48,535.98,Top,270
C57,589.48,533.48,Top,270
C58,589.48,530.98,Top,270
IC5,487.2,490.8,Top,0
X2,510.47,473.79,Top,0
C26,506.97,473.73,Top,0
C31,511.7,465.4,Top,90
C33,513.67,473.73,Top,0
C34,514.17,453.73,Top,90
C35,519.47,469.63,Top,0
C36,520.9,446.5,Top,180
C37,532.07,452.3,Top,180
C38,533.87,465.93,Top,270
C48,572.1,488.7,Top,0
C51,573.7,518.6,Top,90
C53,589.48,543.48,Top,270
L2,587.5,525.5,Top,90
LD1,566.6,489.4,Top,0
LED1,537.17,476.63,Top,180
LED2,541.87,476.63,Top,180
IC4,467.5,464.6,Top,0
L1,513.97,450.93,Top,180
IC7,509.68,524.25,Top,180
IC3,433.02,494.53,Top,0
Q1,492,528.1,Top,0
IC12,580.6,524,Top,0
R1,413.5,504.3,Top,90
R2,413.5,500.85,Top,270
R3,413.98,487.68,Top,90
R4,413.99,484.54,Top,90
R5,415.43,474.7,Top,270
R6,416.65,514.92,Top,270
R7,423.77,495,Top,90
R8,423.83,491.5,Top,270
R9,429.7,501.3,Top,270
R10,434.74,501.2,Top,90
R11,442.74,495.3,Top,90
R12,447.55,495.3,Top,90
R13,462.1,500.17,Top,0
R14,466.6,500.17,Top,0
R15,466.97,473.5,Top,90
R16,466.72,455.17,Top,270
R17,471.6,500.23,Top,0
R18,471.89,483.3,Top,90
R19,476.3,500.2,Top,0
R20,476.17,455.1,Top,270
R21,482.2,581.8,Top,180
R22,482.9,551.4,Top,270
R23,482.56,510.8,Top,90
R24,486.5,581.9,Top,180
R25,488.98,511.1,Top,90
R26,491.9,581.8,Top,180
R27,492.03,532.13,Top,90
R28,491.8,522.8,Top,270
R29,505.7,581.4,Top,180
R30,509.5,581.4,Top,180
R31,508.41,548.7,Top,90
R32,509.64,457.33,Top,270
R33,513.6,581.5,Top,180
R34,517.6,451.2,Top,0
R35,521.5,474.15,Top,0
R36,529.5,450.13,Top,180
R37,534.2,500.27,Top,180
R38,537.17,482.21,Top,0
R39,538.61,462.13,Top,270
R40,538.71,459.13,Top,270
R41,541.97,482.06,Top,0
R42,544.8,503,Top,90
R43,544.8,500,Top,90
R44,551.11,523.12,Top,90
R45,551.22,526.68,Top,270
R46,551.2,515,Top,90
R47,551.2,511.9,Top,90
R48,551.2,503.1,Top,90
R49,551.2,500.1,Top,90
R50,557.05,526.6,Top,270
R51,557.1,523.3,Top,90
R52,557.3,515.07,Top,90
R53,557.3,512,Top,90
R54,557.5,503.1,Top,90
R55,557.45,500,Top,90
R56,573.5,522.1,Top,90
R57,580.6,519.6,Top,90
R58,573.5,525.5,Top,90
IC10,535.38,506.4,Top,0
D1,572.5,532.95,Top,90
D2,587.6,519.9,Top,0
IC8,523.76,460.31,Top,0
C47,568.05,479.2,Top,0
C49,580.3,514,Top,180
C50,580.4,509.3,Top,180
X1,501.55,461.3,Top,270
